file;algo;taille anneau;nb robots;error;time elapsed
log_algov5_10_2.txt;5;10;2;0;0:09.21
log_algov5_10_3.txt;5;10;3;0;33:26.54
log_algov5_10_4.txt;5;10;4;3;24:00:00
log_algov5_10_5.txt;5;10;5;3;24:00:00
log_algov5_2_2.txt;5;2;2;0;0:07.63
log_algov5_2_3.txt;5;2;3;0;17:57.43
log_algov5_2_4.txt;5;2;4;3;24:00:00
log_algov5_2_5.txt;5;2;5;2;24:00:00
log_algov5_3_2.txt;5;3;2;0;0:07.67
log_algov5_3_3.txt;5;3;3;0;21:56.68
log_algov5_3_4.txt;5;3;4;2;24:00:00
log_algov5_3_5.txt;5;3;5;3;24:00:00
log_algov5_4_2.txt;5;4;2;0;0:07.86
log_algov5_4_3.txt;5;4;3;0;23:23.39
log_algov5_4_4.txt;5;4;4;3;24:00:00
log_algov5_4_5.txt;5;4;5;3;24:00:00
log_algov5_5_2.txt;5;5;2;0;0:07.81
log_algov5_5_3.txt;5;5;3;0;23:35.79
log_algov5_5_4.txt;5;5;4;3;24:00:00
log_algov5_5_5.txt;5;5;5;3;24:00:00
log_algov5_6_2.txt;5;6;2;0;0:08.22
log_algov5_6_3.txt;5;6;3;0;22:07.43
log_algov5_6_4.txt;5;6;4;2;24:00:00
log_algov5_6_5.txt;5;6;5;3;24:00:00
log_algov5_7_2.txt;5;7;2;0;0:08.30
log_algov5_7_3.txt;5;7;3;0;34:18.72
log_algov5_7_4.txt;5;7;4;3;24:00:00
log_algov5_7_5.txt;5;7;5;3;24:00:00
log_algov5_8_2.txt;5;8;2;0;0:08.46
log_algov5_8_3.txt;5;8;3;0;39:10.29
log_algov5_8_4.txt;5;8;4;2;24:00:00
log_algov5_8_5.txt;5;8;5;3;24:00:00
log_algov5_9_2.txt;5;9;2;0;0:15.85
log_algov5_9_3.txt;5;9;3;0;26:35.29
log_algov5_9_4.txt;5;9;4;3;24:00:00
log_algov5_9_5.txt;5;9;5;2;24:00:00
log_algov7_10_2.txt;7;10;2;0;0:03.40
log_algov7_10_3.txt;7;10;3;0;13:14.71
log_algov7_10_4.txt;7;10;4;0;17:38:03
log_algov7_10_5.txt;7;10;5;2;24:00:00
log_algov7_2_2.txt;7;2;2;0;0:03.53
log_algov7_2_3.txt;7;2;3;0;5:07.12
log_algov7_2_4.txt;7;2;4;0;17:40:50
log_algov7_2_5.txt;7;2;5;3;24:00:00
log_algov7_3_2.txt;7;3;2;0;0:03.50
log_algov7_3_3.txt;7;3;3;0;5:02.50
log_algov7_3_4.txt;7;3;4;0;22:36:44
log_algov7_3_5.txt;7;3;5;3;24:00:00
log_algov7_4_2.txt;7;4;2;0;0:03.51
log_algov7_4_3.txt;7;4;3;0;5:29.94
log_algov7_4_4.txt;7;4;4;0;23:20:47
log_algov7_4_5.txt;7;4;5;3;24:00:00
log_algov7_5_2.txt;7;5;2;0;0:03.51
log_algov7_5_3.txt;7;5;3;0;6:55.49
log_algov7_5_4.txt;7;5;4;3;24:00:00
log_algov7_5_5.txt;7;5;5;2;24:00:00
log_algov7_6_2.txt;7;6;2;0;0:03.52
log_algov7_6_3.txt;7;6;3;0;9:40.75
log_algov7_6_4.txt;7;6;4;0;17:37:26
log_algov7_6_5.txt;7;6;5;2;24:00:00
log_algov7_7_2.txt;7;7;2;0;0:03.51
log_algov7_7_3.txt;7;7;3;0;11:29.21
log_algov7_7_4.txt;7;7;4;0;23:31:36
log_algov7_7_5.txt;7;7;5;2;24:00:00
log_algov7_8_2.txt;7;8;2;0;0:03.45
log_algov7_8_3.txt;7;8;3;0;14:52.28
log_algov7_8_4.txt;7;8;4;3;24:00:00
log_algov7_8_5.txt;7;8;5;3;24:00:00
log_algov7_9_2.txt;7;9;2;0;0:03.44
log_algov7_9_3.txt;7;9;3;0;18:03.89
log_algov7_9_4.txt;7;9;4;3;24:00:00
log_algov7_9_5.txt;7;9;5;3;24:00:00
