file;algo;taille anneau;nb robots;error;time elapsed
log_algov5_10_2.txt;5;10;2;0;9.21
log_algov5_10_3.txt;5;10;3;0;2006.54
log_algov5_10_4.txt;5;10;4;3;86400.0
log_algov5_10_5.txt;5;10;5;3;86400.0
log_algov5_2_2.txt;5;2;2;0;7.63
log_algov5_2_3.txt;5;2;3;0;1077.43
log_algov5_2_4.txt;5;2;4;3;86400.0
log_algov5_2_5.txt;5;2;5;2;86400.0
log_algov5_3_2.txt;5;3;2;0;7.67
log_algov5_3_3.txt;5;3;3;0;1316.68
log_algov5_3_4.txt;5;3;4;2;86400.0
log_algov5_3_5.txt;5;3;5;3;86400.0
log_algov5_4_2.txt;5;4;2;0;7.86
log_algov5_4_3.txt;5;4;3;0;1403.39
log_algov5_4_4.txt;5;4;4;3;86400.0
log_algov5_4_5.txt;5;4;5;3;86400.0
log_algov5_5_2.txt;5;5;2;0;7.81
log_algov5_5_3.txt;5;5;3;0;1415.79
log_algov5_5_4.txt;5;5;4;3;86400.0
log_algov5_5_5.txt;5;5;5;3;86400.0
log_algov5_6_2.txt;5;6;2;0;8.22
log_algov5_6_3.txt;5;6;3;0;1327.43
log_algov5_6_4.txt;5;6;4;2;86400.0
log_algov5_6_5.txt;5;6;5;3;86400.0
log_algov5_7_2.txt;5;7;2;0;8.30
log_algov5_7_3.txt;5;7;3;0;2058.72
log_algov5_7_4.txt;5;7;4;3;86400.0
log_algov5_7_5.txt;5;7;5;3;86400.0
log_algov5_8_2.txt;5;8;2;0;8.46
log_algov5_8_3.txt;5;8;3;0;2350.29
log_algov5_8_4.txt;5;8;4;2;86400.0
log_algov5_8_5.txt;5;8;5;3;86400.0
log_algov5_9_2.txt;5;9;2;0;15.85
log_algov5_9_3.txt;5;9;3;0;1595.29
log_algov5_9_4.txt;5;9;4;3;86400.0
log_algov5_9_5.txt;5;9;5;2;86400.0
log_algov7_10_2.txt;7;10;2;0;3.40
log_algov7_10_3.txt;7;10;3;0;794.71
log_algov7_10_4.txt;7;10;4;0;63483.0
log_algov7_10_5.txt;7;10;5;2;86400.0
log_algov7_2_2.txt;7;2;2;0;3.53
log_algov7_2_3.txt;7;2;3;0;307.12
log_algov7_2_4.txt;7;2;4;0;63650.0
log_algov7_2_5.txt;7;2;5;3;86400.0
log_algov7_3_2.txt;7;3;2;0;3.50
log_algov7_3_3.txt;7;3;3;0;302.50
log_algov7_3_4.txt;7;3;4;0;81404.0
log_algov7_3_5.txt;7;3;5;3;86400.0
log_algov7_4_2.txt;7;4;2;0;3.51
log_algov7_4_3.txt;7;4;3;0;329.94
log_algov7_4_4.txt;7;4;4;0;84047.0
log_algov7_4_5.txt;7;4;5;3;86400.0
log_algov7_5_2.txt;7;5;2;0;3.51
log_algov7_5_3.txt;7;5;3;0;415.49
log_algov7_5_4.txt;7;5;4;3;86400.0
log_algov7_5_5.txt;7;5;5;2;86400.0
log_algov7_6_2.txt;7;6;2;0;3.52
log_algov7_6_3.txt;7;6;3;0;580.75
log_algov7_6_4.txt;7;6;4;0;63446.0
log_algov7_6_5.txt;7;6;5;2;86400.0
log_algov7_7_2.txt;7;7;2;0;3.51
log_algov7_7_3.txt;7;7;3;0;689.21
log_algov7_7_4.txt;7;7;4;0;84696.0
log_algov7_7_5.txt;7;7;5;2;86400.0
log_algov7_8_2.txt;7;8;2;0;3.45
log_algov7_8_3.txt;7;8;3;0;892.28
log_algov7_8_4.txt;7;8;4;3;86400.0
log_algov7_8_5.txt;7;8;5;3;86400.0
log_algov7_9_2.txt;7;9;2;0;3.44
log_algov7_9_3.txt;7;9;3;0;1083.89
log_algov7_9_4.txt;7;9;4;3;86400.0
log_algov7_9_5.txt;7;9;5;3;86400.0
