file;algo;taille anneau;nb robots;error;time elapsed
log_algov5_10_2.txt;5;10;2;0;0:01.77
log_algov5_10_3.txt;5;10;3;0;2:35.19
log_algov5_10_4.txt;5;10;4;0;27:41.96
log_algov5_10_5.txt;5;10;5;0;1:25:21
log_algov5_2_2.txt;5;2;2;0;0:01.13
log_algov5_2_3.txt;5;2;3;0;0:50.53
log_algov5_2_4.txt;5;2;4;0;0:32.91
log_algov5_2_5.txt;5;2;5;0;1:34.99
log_algov5_3_2.txt;5;3;2;0;0:01.22
log_algov5_3_3.txt;5;3;3;0;1:09.41
log_algov5_3_4.txt;5;3;4;0;5:43.55
log_algov5_3_5.txt;5;3;5;3;6:00:00
log_algov5_4_2.txt;5;4;2;0;0:01.26
log_algov5_4_3.txt;5;4;3;0;1:31.19
log_algov5_4_4.txt;5;4;4;0;1:21:15
log_algov5_4_5.txt;5;4;5;2;6:00:00
log_algov5_5_2.txt;5;5;2;0;0:01.23
log_algov5_5_3.txt;5;5;3;0;7:57.23
log_algov5_5_4.txt;5;5;4;0;3:50:13
log_algov5_5_5.txt;5;5;5;0;1:05:05
log_algov5_6_2.txt;5;6;2;0;0:01.25
log_algov5_6_3.txt;5;6;3;0;4:39.32
log_algov5_6_4.txt;5;6;4;0;16:35.85
log_algov5_6_5.txt;5;6;5;0;3:12:20
log_algov5_7_2.txt;5;7;2;0;0:01.27
log_algov5_7_3.txt;5;7;3;0;2:04.02
log_algov5_7_4.txt;5;7;4;0;12:30.11
log_algov5_7_5.txt;5;7;5;3;6:00:00
log_algov5_8_2.txt;5;8;2;0;0:01.31
log_algov5_8_3.txt;5;8;3;0;1:39.78
log_algov5_8_4.txt;5;8;4;0;4:02:14
log_algov5_8_5.txt;5;8;5;3;6:00:00
log_algov5_9_2.txt;5;9;2;0;0:01.23
log_algov5_9_3.txt;5;9;3;0;3:48.81
log_algov5_9_4.txt;5;9;4;3;6:00:00
log_algov5_9_5.txt;5;9;5;0;4:02:45
log_algov7_10_2.txt;7;10;2;0;0:00.97
log_algov7_10_3.txt;7;10;3;0;4:07.99
log_algov7_10_4.txt;7;10;4;0;20:16.20
log_algov7_10_5.txt;7;10;5;0;1:10:14
log_algov7_2_2.txt;7;2;2;0;0:00.96
log_algov7_2_3.txt;7;2;3;0;0:17.82
log_algov7_2_4.txt;7;2;4;0;0:03.25
log_algov7_2_5.txt;7;2;5;0;2:12.02
log_algov7_3_2.txt;7;3;2;0;0:00.95
log_algov7_3_3.txt;7;3;3;0;0:08.07
log_algov7_3_4.txt;7;3;4;0;31:48.08
log_algov7_3_5.txt;7;3;5;0;51:04.42
log_algov7_4_2.txt;7;4;2;0;0:00.99
log_algov7_4_3.txt;7;4;3;0;0:03.35
log_algov7_4_4.txt;7;4;4;0;10:51.59
log_algov7_4_5.txt;7;4;5;0;4:55:02
log_algov7_5_2.txt;7;5;2;0;0:01.03
log_algov7_5_3.txt;7;5;3;0;1:11.28
log_algov7_5_4.txt;7;5;4;0;55:16.89
log_algov7_5_5.txt;7;5;5;2;6:00:00
log_algov7_6_2.txt;7;6;2;0;0:01.03
log_algov7_6_3.txt;7;6;3;0;1:33.54
log_algov7_6_4.txt;7;6;4;0;1:55:27
log_algov7_6_5.txt;7;6;5;2;6:00:00
log_algov7_7_2.txt;7;7;2;0;0:01.06
log_algov7_7_3.txt;7;7;3;0;0:49.17
log_algov7_7_4.txt;7;7;4;0;3:57.28
log_algov7_7_5.txt;7;7;5;0;49:49.51
log_algov7_8_2.txt;7;8;2;0;0:00.99
log_algov7_8_3.txt;7;8;3;0;0:42.63
log_algov7_8_4.txt;7;8;4;0;15:18.39
log_algov7_8_5.txt;7;8;5;0;5:16:40
log_algov7_9_2.txt;7;9;2;0;0:01.04
log_algov7_9_3.txt;7;9;3;0;0:48.74
log_algov7_9_4.txt;7;9;4;0;6:41.36
log_algov7_9_5.txt;7;9;5;0;49:41.45
