file;algo;taille anneau;nb robots;error;time elapsed
log_algov5_10_2.txt;5;10;2;0;1.77
log_algov5_10_3.txt;5;10;3;0;155.19
log_algov5_10_4.txt;5;10;4;0;1661.96
log_algov5_10_5.txt;5;10;5;0;5121.0
log_algov5_2_2.txt;5;2;2;0;1.13
log_algov5_2_3.txt;5;2;3;0;50.53
log_algov5_2_4.txt;5;2;4;0;32.91
log_algov5_2_5.txt;5;2;5;0;94.99
log_algov5_3_2.txt;5;3;2;0;1.22
log_algov5_3_3.txt;5;3;3;0;69.41
log_algov5_3_4.txt;5;3;4;0;343.55
log_algov5_3_5.txt;5;3;5;3;21600.0
log_algov5_4_2.txt;5;4;2;0;1.26
log_algov5_4_3.txt;5;4;3;0;91.19
log_algov5_4_4.txt;5;4;4;0;4875.0
log_algov5_4_5.txt;5;4;5;2;21600.0
log_algov5_5_2.txt;5;5;2;0;1.23
log_algov5_5_3.txt;5;5;3;0;477.23
log_algov5_5_4.txt;5;5;4;0;13813.0
log_algov5_5_5.txt;5;5;5;0;3905.0
log_algov5_6_2.txt;5;6;2;0;1.25
log_algov5_6_3.txt;5;6;3;0;279.32
log_algov5_6_4.txt;5;6;4;0;995.85
log_algov5_6_5.txt;5;6;5;0;11540.0
log_algov5_7_2.txt;5;7;2;0;1.27
log_algov5_7_3.txt;5;7;3;0;124.02
log_algov5_7_4.txt;5;7;4;0;750.11
log_algov5_7_5.txt;5;7;5;3;21600.0
log_algov5_8_2.txt;5;8;2;0;1.31
log_algov5_8_3.txt;5;8;3;0;99.78
log_algov5_8_4.txt;5;8;4;0;14534.0
log_algov5_8_5.txt;5;8;5;3;21600.0
log_algov5_9_2.txt;5;9;2;0;1.23
log_algov5_9_3.txt;5;9;3;0;228.81
log_algov5_9_4.txt;5;9;4;3;21600.0
log_algov5_9_5.txt;5;9;5;0;14565.0
log_algov7_10_2.txt;7;10;2;0;0.97
log_algov7_10_3.txt;7;10;3;0;247.99
log_algov7_10_4.txt;7;10;4;0;1216.20
log_algov7_10_5.txt;7;10;5;0;4214.0
log_algov7_2_2.txt;7;2;2;0;0.96
log_algov7_2_3.txt;7;2;3;0;17.82
log_algov7_2_4.txt;7;2;4;0;3.25
log_algov7_2_5.txt;7;2;5;0;132.02
log_algov7_3_2.txt;7;3;2;0;0.95
log_algov7_3_3.txt;7;3;3;0;8.07
log_algov7_3_4.txt;7;3;4;0;1908.08
log_algov7_3_5.txt;7;3;5;0;3064.42
log_algov7_4_2.txt;7;4;2;0;0.99
log_algov7_4_3.txt;7;4;3;0;3.35
log_algov7_4_4.txt;7;4;4;0;651.59
log_algov7_4_5.txt;7;4;5;0;17702.0
log_algov7_5_2.txt;7;5;2;0;1.03
log_algov7_5_3.txt;7;5;3;0;71.28
log_algov7_5_4.txt;7;5;4;0;3316.89
log_algov7_5_5.txt;7;5;5;2;21600.0
log_algov7_6_2.txt;7;6;2;0;1.03
log_algov7_6_3.txt;7;6;3;0;93.54
log_algov7_6_4.txt;7;6;4;0;6927.0
log_algov7_6_5.txt;7;6;5;2;21600.0
log_algov7_7_2.txt;7;7;2;0;1.06
log_algov7_7_3.txt;7;7;3;0;49.17
log_algov7_7_4.txt;7;7;4;0;237.28
log_algov7_7_5.txt;7;7;5;0;2989.51
log_algov7_8_2.txt;7;8;2;0;0.99
log_algov7_8_3.txt;7;8;3;0;42.63
log_algov7_8_4.txt;7;8;4;0;918.39
log_algov7_8_5.txt;7;8;5;0;19000.0
log_algov7_9_2.txt;7;9;2;0;1.04
log_algov7_9_3.txt;7;9;3;0;48.74
log_algov7_9_4.txt;7;9;4;0;401.36
log_algov7_9_5.txt;7;9;5;0;2981.45
