file;algo;taille anneau;nb robots;error;time elapsed
log_algov5_10_2.txt;5;10;2;0;0:01.77
log_algov5_10_3.txt;5;10;3;0;2:32.07
log_algov5_10_4.txt;5;10;4;0;28:59.25
log_algov5_10_5.txt;5;10;5;0;1:19:50
log_algov5_2_2.txt;5;2;2;0;0:01.13
log_algov5_2_3.txt;5;2;3;4;24:00:00
log_algov5_2_4.txt;5;2;4;0;0:35.08
log_algov5_2_5.txt;5;2;5;0;1:46.76
log_algov5_3_2.txt;5;3;2;0;0:01.18
log_algov5_3_3.txt;5;3;3;0;1:09.49
log_algov5_3_4.txt;5;3;4;0;5:30.40
log_algov5_3_5.txt;5;3;5;0;7:17:28
log_algov5_4_2.txt;5;4;2;0;0:01.28
log_algov5_4_3.txt;5;4;3;0;1:32.43
log_algov5_4_4.txt;5;4;4;0;1:16:58
log_algov5_4_5.txt;5;4;5;0;11:32:24
log_algov5_5_2.txt;5;5;2;0;0:01.22
log_algov5_5_3.txt;5;5;3;0;7:46.72
log_algov5_5_4.txt;5;5;4;0;3:59:27
log_algov5_5_5.txt;5;5;5;0;1:06:22
log_algov5_6_2.txt;5;6;2;0;0:01.24
log_algov5_6_3.txt;5;6;3;0;4:17.69
log_algov5_6_4.txt;5;6;4;0;17:30.57
log_algov5_6_5.txt;5;6;5;0;3:19:26
log_algov5_7_2.txt;5;7;2;0;0:01.30
log_algov5_7_3.txt;5;7;3;0;2:04.29
log_algov5_7_4.txt;5;7;4;0;13:41.56
log_algov5_7_5.txt;5;7;5;0;8:19:10
log_algov5_8_2.txt;5;8;2;0;0:01.28
log_algov5_8_3.txt;5;8;3;0;1:38.61
log_algov5_8_4.txt;5;8;4;0;4:05:00
log_algov5_8_5.txt;5;8;5;0;8:21:40
log_algov5_9_2.txt;5;9;2;0;0:01.25
log_algov5_9_3.txt;5;9;3;0;3:56.58
log_algov5_9_4.txt;5;9;4;0;6:28:56
log_algov5_9_5.txt;5;9;5;0;3:57:47
log_algov7_10_2.txt;7;10;2;0;0:01.03
log_algov7_10_3.txt;7;10;3;0;4:09.66
log_algov7_10_4.txt;7;10;4;0;19:36.93
log_algov7_10_5.txt;7;10;5;0;1:11:16
log_algov7_2_2.txt;7;2;2;0;0:00.99
log_algov7_2_3.txt;7;2;3;4;24:00:00
log_algov7_2_4.txt;7;2;4;0;0:03.46
log_algov7_2_5.txt;7;2;5;0;2:27.90
log_algov7_3_2.txt;7;3;2;0;0:00.97
log_algov7_3_3.txt;7;3;3;0;0:08.32
log_algov7_3_4.txt;7;3;4;0;31:59.69
log_algov7_3_5.txt;7;3;5;0;52:30.85
log_algov7_4_2.txt;7;4;2;0;0:01.02
log_algov7_4_3.txt;7;4;3;0;0:03.13
log_algov7_4_4.txt;7;4;4;0;13:32.81
log_algov7_4_5.txt;7;4;5;0;4:29:26
log_algov7_5_2.txt;7;5;2;0;0:01.00
log_algov7_5_3.txt;7;5;3;0;1:07.41
log_algov7_5_4.txt;7;5;4;0;54:14.48
log_algov7_5_5.txt;7;5;5;2;24:00:00
log_algov7_6_2.txt;7;6;2;0;0:01.09
log_algov7_6_3.txt;7;6;3;0;1:36.52
log_algov7_6_4.txt;7;6;4;0;1:56:57
log_algov7_6_5.txt;7;6;5;2;24:00:00
log_algov7_7_2.txt;7;7;2;0;0:01.09
log_algov7_7_3.txt;7;7;3;0;0:47.59
log_algov7_7_4.txt;7;7;4;0;4:36.77
log_algov7_7_5.txt;7;7;5;0;52:02.13
log_algov7_8_2.txt;7;8;2;0;0:01.01
log_algov7_8_3.txt;7;8;3;0;0:41.16
log_algov7_8_4.txt;7;8;4;0;14:31.94
log_algov7_8_5.txt;7;8;5;0;5:50:00
log_algov7_9_2.txt;7;9;2;0;0:01.07
log_algov7_9_3.txt;7;9;3;0;0:51.84
log_algov7_9_4.txt;7;9;4;0;6:23.93
log_algov7_9_5.txt;7;9;5;0;53:37.90
