file;algo;taille anneau;nb robots;error;time elapsed
log_algov5_10_2.txt;5;10;2;0;1.77
log_algov5_10_3.txt;5;10;3;0;152.07
log_algov5_10_4.txt;5;10;4;0;1739.25
log_algov5_10_5.txt;5;10;5;0;4790.0
log_algov5_2_2.txt;5;2;2;0;1.13
log_algov5_2_3.txt;5;2;3;4;86400.0
log_algov5_2_4.txt;5;2;4;0;35.08
log_algov5_2_5.txt;5;2;5;0;106.76
log_algov5_3_2.txt;5;3;2;0;1.18
log_algov5_3_3.txt;5;3;3;0;69.49
log_algov5_3_4.txt;5;3;4;0;330.40
log_algov5_3_5.txt;5;3;5;0;26248.0
log_algov5_4_2.txt;5;4;2;0;1.28
log_algov5_4_3.txt;5;4;3;0;92.43
log_algov5_4_4.txt;5;4;4;0;4618.0
log_algov5_4_5.txt;5;4;5;0;41544.0
log_algov5_5_2.txt;5;5;2;0;1.22
log_algov5_5_3.txt;5;5;3;0;466.72
log_algov5_5_4.txt;5;5;4;0;14367.0
log_algov5_5_5.txt;5;5;5;0;3982.0
log_algov5_6_2.txt;5;6;2;0;1.24
log_algov5_6_3.txt;5;6;3;0;257.69
log_algov5_6_4.txt;5;6;4;0;1050.57
log_algov5_6_5.txt;5;6;5;0;11966.0
log_algov5_7_2.txt;5;7;2;0;1.30
log_algov5_7_3.txt;5;7;3;0;124.29
log_algov5_7_4.txt;5;7;4;0;821.56
log_algov5_7_5.txt;5;7;5;0;29950.0
log_algov5_8_2.txt;5;8;2;0;1.28
log_algov5_8_3.txt;5;8;3;0;98.61
log_algov5_8_4.txt;5;8;4;0;14700.0
log_algov5_8_5.txt;5;8;5;0;30100.0
log_algov5_9_2.txt;5;9;2;0;1.25
log_algov5_9_3.txt;5;9;3;0;236.58
log_algov5_9_4.txt;5;9;4;0;23336.0
log_algov5_9_5.txt;5;9;5;0;14267.0
log_algov7_10_2.txt;7;10;2;0;1.03
log_algov7_10_3.txt;7;10;3;0;249.66
log_algov7_10_4.txt;7;10;4;0;1176.93
log_algov7_10_5.txt;7;10;5;0;4276.0
log_algov7_2_2.txt;7;2;2;0;0.99
log_algov7_2_3.txt;7;2;3;4;86400.0
log_algov7_2_4.txt;7;2;4;0;3.46
log_algov7_2_5.txt;7;2;5;0;147.90
log_algov7_3_2.txt;7;3;2;0;0.97
log_algov7_3_3.txt;7;3;3;0;8.32
log_algov7_3_4.txt;7;3;4;0;1919.69
log_algov7_3_5.txt;7;3;5;0;3150.85
log_algov7_4_2.txt;7;4;2;0;1.02
log_algov7_4_3.txt;7;4;3;0;3.13
log_algov7_4_4.txt;7;4;4;0;812.81
log_algov7_4_5.txt;7;4;5;0;16166.0
log_algov7_5_2.txt;7;5;2;0;1.00
log_algov7_5_3.txt;7;5;3;0;67.41
log_algov7_5_4.txt;7;5;4;0;3254.48
log_algov7_5_5.txt;7;5;5;2;86400.0
log_algov7_6_2.txt;7;6;2;0;1.09
log_algov7_6_3.txt;7;6;3;0;96.52
log_algov7_6_4.txt;7;6;4;0;7017.0
log_algov7_6_5.txt;7;6;5;2;86400.0
log_algov7_7_2.txt;7;7;2;0;1.09
log_algov7_7_3.txt;7;7;3;0;47.59
log_algov7_7_4.txt;7;7;4;0;276.77
log_algov7_7_5.txt;7;7;5;0;3122.13
log_algov7_8_2.txt;7;8;2;0;1.01
log_algov7_8_3.txt;7;8;3;0;41.16
log_algov7_8_4.txt;7;8;4;0;871.94
log_algov7_8_5.txt;7;8;5;0;21000.0
log_algov7_9_2.txt;7;9;2;0;1.07
log_algov7_9_3.txt;7;9;3;0;51.84
log_algov7_9_4.txt;7;9;4;0;383.93
log_algov7_9_5.txt;7;9;5;0;3217.90
