file;algo;taille anneau;nb robots;error;time elapsed
log_algov5_10_2.txt;5;10;2;0;1.06
log_algov5_10_3.txt;5;10;3;0;749.35
log_algov5_10_4.txt;5;10;4;0;4168.0
log_algov5_10_5.txt;5;10;5;0;9587.0
log_algov5_2_2.txt;5;2;2;0;0.96
log_algov5_2_3.txt;5;2;3;0;3.15
log_algov5_2_4.txt;5;2;4;0;32.57
log_algov5_2_5.txt;5;2;5;0;330.43
log_algov5_3_2.txt;5;3;2;1;4.54
log_algov5_3_3.txt;5;3;3;0;22.46
log_algov5_3_4.txt;5;3;4;0;1003.68
log_algov5_3_5.txt;5;3;5;0;2164.17
log_algov5_4_2.txt;5;4;2;0;1.05
log_algov5_4_3.txt;5;4;3;0;29.98
log_algov5_4_4.txt;5;4;4;0;3434.79
log_algov5_4_5.txt;5;4;5;0;7703.0
log_algov5_5_2.txt;5;5;2;1;38.62
log_algov5_5_3.txt;5;5;3;1;1275.95
log_algov5_5_4.txt;5;5;4;0;731.37
log_algov5_5_5.txt;5;;;2;40533.0
log_algov5_6_2.txt;5;6;2;0;1.03
log_algov5_6_3.txt;5;6;3;0;15.11
log_algov5_6_4.txt;5;6;4;0;20901.0
log_algov5_6_5.txt;5;;;2;40531.0
log_algov5_7_2.txt;5;7;2;1;27.64
log_algov5_7_3.txt;5;7;3;1;4146.0
log_algov5_7_4.txt;5;7;4;0;7155.0
log_algov5_7_5.txt;5;;;2;40523.0
log_algov5_8_2.txt;5;8;2;0;1.17
log_algov5_8_3.txt;5;8;3;0;315.31
log_algov5_8_4.txt;5;8;4;0;1042.27
log_algov5_8_5.txt;5;8;5;0;4673.0
log_algov5_9_2.txt;5;9;2;1;47.23
log_algov5_9_3.txt;5;9;3;0;118.35
log_algov5_9_4.txt;5;9;4;0;9265.0
log_algov5_9_5.txt;5;9;5;0;17318.0
log_algov7_10_2.txt;7;10;2;0;0.88
log_algov7_10_3.txt;7;10;3;0;713.29
log_algov7_2_2.txt;7;2;2;0;0.84
log_algov7_2_3.txt;7;2;3;0;2.15
log_algov7_3_2.txt;7;3;2;1;43.98
log_algov7_3_3.txt;7;3;3;0;8.86
log_algov7_4_2.txt;7;4;2;0;0.90
log_algov7_4_3.txt;7;4;3;0;77.00
log_algov7_5_2.txt;7;5;2;1;50.10
log_algov7_5_3.txt;7;;;2;62004.0
log_algov7_6_2.txt;7;6;2;0;0.86
log_algov7_6_3.txt;7;6;3;0;26.54
log_algov7_7_2.txt;7;7;2;1;164.85
log_algov7_7_3.txt;7;7;3;1;977.32
log_algov7_8_2.txt;7;8;2;0;0.87
log_algov7_8_3.txt;7;8;3;0;174.96
log_algov7_9_2.txt;7;9;2;1;3615.0
log_algov7_9_3.txt;7;9;3;0;56.27
