file;algo;taille anneau;nb robots;error;time elapsed
log_algov5_10_2.txt;5;10;2;0;0:01.75
log_algov5_10_3.txt;5;10;3;0;7:40.46
log_algov5_10_4.txt;5;10;4;0;2:02:29
log_algov5_10_5.txt;5;10;5;0;3:06:06
log_algov5_2_2.txt;5;2;2;0;0:01.75
log_algov5_2_3.txt;5;2;3;0;0:03.13
log_algov5_2_4.txt;5;2;4;0;0:26.60
log_algov5_2_5.txt;5;2;5;0;4:34.25
log_algov5_3_2.txt;5;3;2;4;24:00:00
log_algov5_3_3.txt;5;3;3;0;0:28.10
log_algov5_3_4.txt;5;3;4;0;12:58.01
log_algov5_3_5.txt;5;3;5;0;5:31:43
log_algov5_4_2.txt;5;4;2;0;0:01.75
log_algov5_4_3.txt;5;4;3;0;0:34.66
log_algov5_4_4.txt;5;4;4;0;2:23:25
log_algov5_4_5.txt;5;4;5;0;2:30:56
log_algov5_5_2.txt;5;5;2;4;24:00:00
log_algov5_5_3.txt;5;5;3;4;24:00:00
log_algov5_5_4.txt;5;5;4;0;6:02:56
log_algov5_5_5.txt;5;5;5;2;24:00:00
log_algov5_6_2.txt;5;6;2;0;0:01.75
log_algov5_6_3.txt;5;6;3;0;0:14.81
log_algov5_6_4.txt;5;6;4;0;2:34:36
log_algov5_6_5.txt;5;6;5;0;23:44:13
log_algov5_7_2.txt;5;7;2;4;24:00:00
log_algov5_7_3.txt;5;7;3;4;24:00:00
log_algov5_7_4.txt;5;7;4;2;24:00:00
log_algov5_7_5.txt;5;7;5;2;24:00:00
log_algov5_8_2.txt;5;8;2;0;0:01.84
log_algov5_8_3.txt;5;8;3;0;3:19.45
log_algov5_8_4.txt;5;8;4;0;49:03.62
log_algov5_8_5.txt;5;8;5;0;4:57:18
log_algov5_9_2.txt;5;9;2;4;24:00:00
log_algov5_9_3.txt;5;9;3;0;1:54.90
log_algov5_9_4.txt;5;9;4;0;1:18:43
log_algov5_9_5.txt;5;9;5;0;6:51:54
log_algov7_10_2.txt;7;10;2;0;0:00.75
log_algov7_10_3.txt;7;10;3;0;0:03.14
log_algov7_10_4.txt;7;10;4;0;21:17.70
log_algov7_10_5.txt;7;10;5;0;4:36:00
log_algov7_2_2.txt;7;2;2;0;0:00.78
log_algov7_2_3.txt;7;2;3;0;0:01.99
log_algov7_2_4.txt;7;2;4;0;0:31.99
log_algov7_2_5.txt;7;2;5;0;1:31.19
log_algov7_3_2.txt;7;3;2;4;24:00:00
log_algov7_3_3.txt;7;3;3;0;0:02.64
log_algov7_3_4.txt;7;3;4;0;8:04.85
log_algov7_3_5.txt;7;3;5;0;1:02:39
log_algov7_4_2.txt;7;4;2;0;0:00.80
log_algov7_4_3.txt;7;4;3;0;0:01.87
log_algov7_4_4.txt;7;4;4;0;2:06.97
log_algov7_4_5.txt;7;4;5;0;3:33:19
log_algov7_5_2.txt;7;5;2;4;24:00:00
log_algov7_5_3.txt;7;5;3;4;24:00:00
log_algov7_5_4.txt;7;5;4;0;10:33.90
log_algov7_5_5.txt;7;5;5;0;3:21:23
log_algov7_6_2.txt;7;6;2;0;0:00.74
log_algov7_6_3.txt;7;6;3;0;4:41.02
log_algov7_6_4.txt;7;6;4;0;55:25.67
log_algov7_6_5.txt;7;6;5;2;24:00:00
log_algov7_7_2.txt;7;7;2;4;24:00:00
log_algov7_7_3.txt;7;7;3;4;24:00:00
log_algov7_7_4.txt;7;7;4;0;10:17.93
log_algov7_7_5.txt;7;7;5;0;4:34:28
log_algov7_8_2.txt;7;8;2;0;0:00.73
log_algov7_8_3.txt;7;8;3;0;0:45.72
log_algov7_8_4.txt;7;8;4;0;29:00.57
log_algov7_8_5.txt;7;8;5;0;3:38:03
log_algov7_9_2.txt;7;9;2;4;24:00:00
log_algov7_9_3.txt;7;9;3;0;10:21.86
log_algov7_9_4.txt;7;9;4;0;33:52.59
log_algov7_9_5.txt;7;9;5;0;5:40:11
