file;algo;taille anneau;nb robots;error;time elapsed
log_algov5_10_2.txt;5;10;2;0;0:01.08
log_algov5_10_3.txt;5;10;3;0;3:41.40
log_algov5_10_4.txt;5;10;4;0;1:33:15
log_algov5_10_5.txt;5;10;5;0;4:29:34
log_algov5_2_2.txt;5;2;2;0;0:01.06
log_algov5_2_3.txt;5;2;3;0;0:03.32
log_algov5_2_4.txt;5;2;4;0;1:23.21
log_algov5_2_5.txt;5;2;5;0;13:50.54
log_algov5_3_2.txt;5;3;2;1;0:02.78
log_algov5_3_3.txt;5;3;3;0;1:00.61
log_algov5_3_4.txt;5;3;4;0;1:00:05
log_algov5_3_5.txt;5;3;5;0;15:44.99
log_algov5_4_2.txt;5;4;2;0;0:01.08
log_algov5_4_3.txt;5;4;3;0;1:52.60
log_algov5_4_4.txt;5;4;4;0;37:23.11
log_algov5_4_5.txt;5;4;5;2;24:00:00
log_algov5_5_2.txt;5;5;2;1;0:02.47
log_algov5_5_3.txt;5;5;3;0;4:18.31
log_algov5_5_4.txt;5;5;4;2;24:00:00
log_algov5_5_5.txt;5;5;5;2;24:00:00
log_algov5_6_2.txt;5;6;2;0;0:01.11
log_algov5_6_3.txt;5;6;3;0;0:49.29
log_algov5_6_4.txt;5;6;4;0;45:54.30
log_algov5_6_5.txt;5;6;5;0;8:28:09
log_algov5_7_2.txt;5;7;2;1;25:25.46
log_algov5_7_3.txt;5;7;3;0;1:41.65
log_algov5_7_4.txt;5;7;4;0;1:05:54
log_algov5_7_5.txt;5;7;5;2;24:00:00
log_algov5_8_2.txt;5;8;2;0;0:01.08
log_algov5_8_3.txt;5;8;3;0;4:42.49
log_algov5_8_4.txt;5;8;4;0;14:36.36
log_algov5_8_5.txt;5;8;5;2;24:00:00
log_algov5_9_2.txt;5;9;2;2;24:00:00
log_algov5_9_3.txt;5;9;3;0;1:56.92
log_algov5_9_4.txt;5;9;4;0;15:05.51
log_algov5_9_5.txt;5;9;5;0;9:26:41
log_algov7_10_2.txt;7;10;2;0;0:00.79
log_algov7_10_3.txt;7;10;3;0;1:55.93
log_algov7_10_4.txt;7;10;4;0;9:01.45
log_algov7_10_5.txt;7;10;5;0;1:38:07
log_algov7_2_2.txt;7;2;2;0;0:00.78
log_algov7_2_3.txt;7;2;3;0;0:01.74
log_algov7_2_4.txt;7;2;4;0;0:02.44
log_algov7_2_5.txt;7;2;5;0;3:05.76
log_algov7_3_2.txt;7;3;2;1;0:10.60
log_algov7_3_3.txt;7;3;3;0;0:06.57
log_algov7_3_4.txt;7;3;4;0;1:45.59
log_algov7_3_5.txt;7;3;5;0;1:16:37
log_algov7_4_2.txt;7;4;2;0;0:00.74
log_algov7_4_3.txt;7;4;3;0;0:14.97
log_algov7_4_4.txt;7;4;4;0;46:02.79
log_algov7_4_5.txt;7;4;5;0;20:54:52
log_algov7_5_2.txt;7;5;2;1;0:10.77
log_algov7_5_3.txt;7;5;3;0;0:06.66
log_algov7_5_4.txt;7;5;4;0;17:30.20
log_algov7_5_5.txt;7;5;5;0;1:20:15
log_algov7_6_2.txt;7;6;2;0;0:00.78
log_algov7_6_3.txt;7;6;3;0;2:01.05
log_algov7_6_4.txt;7;6;4;0;3:58:47
log_algov7_6_5.txt;7;6;5;2;24:00:00
log_algov7_7_2.txt;7;7;2;1;0:10.75
log_algov7_7_3.txt;7;7;3;0;2:25.53
log_algov7_7_4.txt;7;7;4;0;8:18.32
log_algov7_7_5.txt;7;7;5;0;3:01:26
log_algov7_8_2.txt;7;8;2;0;0:00.78
log_algov7_8_3.txt;7;8;3;0;1:06.81
log_algov7_8_4.txt;7;8;4;0;3:31.48
log_algov7_8_5.txt;7;8;5;0;5:03:57
log_algov7_9_2.txt;7;9;2;1;0:10.75
log_algov7_9_3.txt;7;9;3;0;0:27.10
log_algov7_9_4.txt;7;9;4;0;6:13.07
log_algov7_9_5.txt;7;9;5;0;4:13:41
