file;algo;taille anneau;nb robots;error;time elapsed
log_algov5_10_2.txt;5;10;2;0;1.8
log_algov5_10_3.txt;5;10;3;0;221.40
log_algov5_10_4.txt;5;10;4;0;5595.0
log_algov5_10_5.txt;5;10;5;0;16174.0
log_algov5_2_2.txt;5;2;2;0;1.6
log_algov5_2_3.txt;5;2;3;0;3.32
log_algov5_2_4.txt;5;2;4;0;83.21
log_algov5_2_5.txt;5;2;5;0;830.54
log_algov5_3_2.txt;5;3;2;1;2.78
log_algov5_3_3.txt;5;3;3;0;60.61
log_algov5_3_4.txt;5;3;4;0;3605.0
log_algov5_3_5.txt;5;3;5;0;944.99
log_algov5_4_2.txt;5;4;2;0;1.8
log_algov5_4_3.txt;5;4;3;0;112.60
log_algov5_4_4.txt;5;4;4;0;2243.11
log_algov5_4_5.txt;5;4;5;2;86400.0
log_algov5_5_2.txt;5;5;2;1;2.47
log_algov5_5_3.txt;5;5;3;0;258.31
log_algov5_5_4.txt;5;5;4;2;86400.0
log_algov5_5_5.txt;5;5;5;2;86400.0
log_algov5_6_2.txt;5;6;2;0;1.11
log_algov5_6_3.txt;5;6;3;0;49.29
log_algov5_6_4.txt;5;6;4;0;2754.30
log_algov5_6_5.txt;5;6;5;0;30489.0
log_algov5_7_2.txt;5;7;2;1;1525.46
log_algov5_7_3.txt;5;7;3;0;101.65
log_algov5_7_4.txt;5;7;4;0;3954.0
log_algov5_7_5.txt;5;7;5;2;86400.0
log_algov5_8_2.txt;5;8;2;0;1.8
log_algov5_8_3.txt;5;8;3;0;282.49
log_algov5_8_4.txt;5;8;4;0;876.36
log_algov5_8_5.txt;5;8;5;2;86400.0
log_algov5_9_2.txt;5;9;2;2;86400.0
log_algov5_9_3.txt;5;9;3;0;116.92
log_algov5_9_4.txt;5;9;4;0;905.51
log_algov5_9_5.txt;5;9;5;0;34001.0
log_algov7_10_2.txt;7;10;2;0;0.79
log_algov7_10_3.txt;7;10;3;0;115.93
log_algov7_10_4.txt;7;10;4;0;541.45
log_algov7_10_5.txt;7;10;5;0;5887.0
log_algov7_2_2.txt;7;2;2;0;0.78
log_algov7_2_3.txt;7;2;3;0;1.74
log_algov7_2_4.txt;7;2;4;0;2.44
log_algov7_2_5.txt;7;2;5;0;185.76
log_algov7_3_2.txt;7;3;2;1;10.60
log_algov7_3_3.txt;7;3;3;0;6.57
log_algov7_3_4.txt;7;3;4;0;105.59
log_algov7_3_5.txt;7;3;5;0;4597.0
log_algov7_4_2.txt;7;4;2;0;0.74
log_algov7_4_3.txt;7;4;3;0;14.97
log_algov7_4_4.txt;7;4;4;0;2762.79
log_algov7_4_5.txt;7;4;5;0;75292.0
log_algov7_5_2.txt;7;5;2;1;10.77
log_algov7_5_3.txt;7;5;3;0;6.66
log_algov7_5_4.txt;7;5;4;0;1050.20
log_algov7_5_5.txt;7;5;5;0;4815.0
log_algov7_6_2.txt;7;6;2;0;0.78
log_algov7_6_3.txt;7;6;3;0;121.5
log_algov7_6_4.txt;7;6;4;0;14327.0
log_algov7_6_5.txt;7;6;5;2;86400.0
log_algov7_7_2.txt;7;7;2;1;10.75
log_algov7_7_3.txt;7;7;3;0;145.53
log_algov7_7_4.txt;7;7;4;0;498.32
log_algov7_7_5.txt;7;7;5;0;10886.0
log_algov7_8_2.txt;7;8;2;0;0.78
log_algov7_8_3.txt;7;8;3;0;66.81
log_algov7_8_4.txt;7;8;4;0;211.48
log_algov7_8_5.txt;7;8;5;0;18237.0
log_algov7_9_2.txt;7;9;2;1;10.75
log_algov7_9_3.txt;7;9;3;0;27.10
log_algov7_9_4.txt;7;9;4;0;373.7
log_algov7_9_5.txt;7;9;5;0;15221.0
