file;algo;taille anneau;nb robots;error;time elapsed
log_algov5_10_2.txt;5;10;2;0;0:11.63
log_algov5_10_3.txt;5;10;3;2;24:00:00
log_algov5_10_4.txt;5;10;4;2;24:00:00
log_algov5_10_5.txt;5;10;5;2;24:00:00
log_algov5_2_2.txt;5;2;2;0;0:08.01
log_algov5_2_3.txt;5;2;3;1;27:57.39
log_algov5_2_4.txt;5;2;4;2;24:00:00
log_algov5_2_5.txt;5;2;5;2;24:00:00
log_algov5_3_2.txt;5;3;2;0;0:08.83
log_algov5_3_3.txt;5;3;3;0;35:37.93
log_algov5_3_4.txt;5;3;4;2;24:00:00
log_algov5_3_5.txt;5;3;5;2;24:00:00
log_algov5_4_2.txt;5;4;2;0;0:11.16
log_algov5_4_3.txt;5;4;3;1;2:22:04
log_algov5_4_4.txt;5;4;4;2;24:00:00
log_algov5_4_5.txt;5;4;5;2;24:00:00
log_algov5_5_2.txt;5;5;2;0;0:15.77
log_algov5_5_3.txt;5;5;3;1;8:51:00
log_algov5_5_4.txt;5;5;4;2;24:00:00
log_algov5_5_5.txt;5;5;5;2;24:00:00
log_algov5_6_2.txt;5;6;2;0;0:11.36
log_algov5_6_3.txt;5;6;3;0;3:09:46
log_algov5_6_4.txt;5;6;4;2;24:00:00
log_algov5_6_5.txt;5;6;5;2;24:00:00
log_algov5_7_2.txt;5;7;2;0;0:26.53
log_algov5_7_3.txt;5;7;3;2;24:00:00
log_algov5_7_4.txt;5;7;4;2;24:00:00
log_algov5_7_5.txt;5;7;5;2;24:00:00
log_algov5_8_2.txt;5;8;2;0;0:10.03
log_algov5_8_3.txt;5;8;3;2;24:00:00
log_algov5_8_4.txt;5;8;4;2;24:00:00
log_algov5_8_5.txt;5;8;5;2;24:00:00
log_algov5_9_2.txt;5;9;2;0;0:19.07
log_algov5_9_3.txt;5;9;3;0;12:35:39
log_algov5_9_4.txt;5;9;4;2;24:00:00
log_algov5_9_5.txt;5;9;5;2;24:00:00
log_algov7_10_2.txt;7;10;2;0;0:04.31
log_algov7_10_3.txt;7;10;3;2;24:00:00
log_algov7_10_4.txt;7;10;4;2;24:00:00
log_algov7_10_5.txt;7;10;5;2;24:00:00
log_algov7_2_2.txt;7;2;2;0;0:03.70
log_algov7_2_3.txt;7;2;3;1;7:03.21
log_algov7_2_4.txt;7;2;4;0;19:59:37
log_algov7_2_5.txt;7;2;5;2;24:00:00
log_algov7_3_2.txt;7;3;2;0;0:03.85
log_algov7_3_3.txt;7;3;3;0;7:29.36
log_algov7_3_4.txt;7;3;4;0;22:55:53
log_algov7_3_5.txt;7;3;5;2;24:00:00
log_algov7_4_2.txt;7;4;2;0;0:04.85
log_algov7_4_3.txt;7;4;3;1;40:05.57
log_algov7_4_4.txt;7;4;4;0;21:26:31
log_algov7_4_5.txt;7;4;5;2;24:00:00
log_algov7_5_2.txt;7;5;2;0;0:03.96
log_algov7_5_3.txt;7;5;3;1;2:02:50
log_algov7_5_4.txt;7;5;4;2;24:00:00
log_algov7_5_5.txt;7;5;5;2;24:00:00
log_algov7_6_2.txt;7;6;2;0;0:04.21
log_algov7_6_3.txt;7;6;3;0;59:17.35
log_algov7_6_4.txt;7;6;4;1;17:39:06
log_algov7_6_5.txt;7;6;5;2;24:00:00
log_algov7_7_2.txt;7;7;2;0;0:08.34
log_algov7_7_3.txt;7;7;3;1;12:48:25
log_algov7_7_4.txt;7;7;4;2;24:00:00
log_algov7_7_5.txt;7;7;5;2;24:00:00
log_algov7_8_2.txt;7;8;2;0;0:04.59
log_algov7_8_3.txt;7;8;3;2;24:00:00
log_algov7_8_4.txt;7;8;4;2;24:00:00
log_algov7_8_5.txt;7;8;5;2;24:00:00
log_algov7_9_2.txt;7;9;2;0;0:06.33
log_algov7_9_3.txt;7;9;3;0;1:20:05
log_algov7_9_4.txt;7;9;4;2;24:00:00
log_algov7_9_5.txt;7;9;5;2;24:00:00
