file;algo;taille anneau;nb robots;error;time elapsed
log_algov5_10_2.txt;5;10;2;0;11.86
log_algov5_10_3.txt;5;10;3;2;86400.0
log_algov5_10_4.txt;5;10;4;2;86400.0
log_algov5_10_5.txt;5;10;5;2;86400.0
log_algov5_2_2.txt;5;2;2;0;7.97
log_algov5_2_3.txt;5;2;3;1;1650.21
log_algov5_2_4.txt;5;2;4;2;86400.0
log_algov5_2_5.txt;5;2;5;2;86400.0
log_algov5_3_2.txt;5;3;2;0;8.59
log_algov5_3_3.txt;5;3;3;0;2068.72
log_algov5_3_4.txt;5;3;4;2;86400.0
log_algov5_3_5.txt;5;3;5;2;86400.0
log_algov5_4_2.txt;5;4;2;0;11.1
log_algov5_4_3.txt;5;4;3;1;8247.0
log_algov5_4_4.txt;5;4;4;2;86400.0
log_algov5_4_5.txt;5;4;5;2;86400.0
log_algov5_5_2.txt;5;5;2;0;16.7
log_algov5_5_3.txt;5;5;3;1;31516.0
log_algov5_5_4.txt;5;5;4;2;86400.0
log_algov5_5_5.txt;5;5;5;2;86400.0
log_algov5_6_2.txt;5;6;2;0;11.25
log_algov5_6_3.txt;5;6;3;0;11303.0
log_algov5_6_4.txt;5;6;4;2;86400.0
log_algov5_6_5.txt;5;6;5;2;86400.0
log_algov5_7_2.txt;5;7;2;0;27.16
log_algov5_7_3.txt;5;7;3;2;86400.0
log_algov5_7_4.txt;5;7;4;2;86400.0
log_algov5_7_5.txt;5;7;5;2;86400.0
log_algov5_8_2.txt;5;8;2;0;10.40
log_algov5_8_3.txt;5;8;3;2;86400.0
log_algov5_8_4.txt;5;8;4;2;86400.0
log_algov5_8_5.txt;5;8;5;2;86400.0
log_algov5_9_2.txt;5;9;2;0;19.63
log_algov5_9_3.txt;5;9;3;0;44777.0
log_algov5_9_4.txt;5;9;4;2;86400.0
log_algov5_9_5.txt;5;9;5;2;86400.0
log_algov7_10_2.txt;7;10;2;0;4.36
log_algov7_10_3.txt;7;10;3;2;86400.0
log_algov7_10_4.txt;7;10;4;2;86400.0
log_algov7_10_5.txt;7;10;5;2;86400.0
log_algov7_2_2.txt;7;2;2;0;3.73
log_algov7_2_3.txt;7;2;3;1;1526.61
log_algov7_2_4.txt;7;2;4;1;62375.0
log_algov7_2_5.txt;7;2;5;2;86400.0
log_algov7_3_2.txt;7;3;2;0;3.77
log_algov7_3_3.txt;7;3;3;0;414.93
log_algov7_3_4.txt;7;3;4;0;78590.0
log_algov7_3_5.txt;7;3;5;2;86400.0
log_algov7_4_2.txt;7;4;2;0;5.18
log_algov7_4_3.txt;7;4;3;1;3420.1
log_algov7_4_4.txt;7;4;4;0;80308.0
log_algov7_4_5.txt;7;4;5;2;86400.0
log_algov7_5_2.txt;7;5;2;0;4.16
log_algov7_5_3.txt;7;5;3;1;7124.0
log_algov7_5_4.txt;7;5;4;2;86400.0
log_algov7_5_5.txt;7;5;5;2;86400.0
log_algov7_6_2.txt;7;6;2;0;4.33
log_algov7_6_3.txt;7;6;3;0;4435.0
log_algov7_6_4.txt;7;6;4;2;86400.0
log_algov7_6_5.txt;7;6;5;2;86400.0
log_algov7_7_2.txt;7;7;2;0;8.4
log_algov7_7_3.txt;7;7;3;1;61085.0
log_algov7_7_4.txt;7;7;4;2;86400.0
log_algov7_7_5.txt;7;7;5;2;86400.0
log_algov7_8_2.txt;7;8;2;0;5.30
log_algov7_8_3.txt;7;8;3;2;86400.0
log_algov7_8_4.txt;7;8;4;2;86400.0
log_algov7_8_5.txt;7;8;5;2;86400.0
log_algov7_9_2.txt;7;9;2;0;7.12
log_algov7_9_3.txt;7;9;3;0;955.80
log_algov7_9_4.txt;7;9;4;2;86400.0
log_algov7_9_5.txt;7;9;5;2;86400.0
